team,group,squad_number,position,player,date_of_birth,age,caps,goals,club,player_count,wiki_link,birthplace,lon,lat
Egypt,A,1,GK,Essam El-Hadary ,1973-01-15,45,157,0,Al-Taawoun,1,https://en.wikipedia.org/wiki/Essam_El-Hadary,"Kafr El-Battikh, Damietta, Egypt",31.739417,31.4027024
Egypt,A,2,DF,Ali Gabr,1989-01-01,29,20,1,West Bromwich Albion,1,https://en.wikipedia.org/wiki/Ali_Gabr,"Alexandria, Egypt",29.9187387,31.2000924
Egypt,A,3,DF,Ahmed Elmohamady,1987-09-09,30,77,2,Aston Villa,1,https://en.wikipedia.org/wiki/Ahmed_Elmohamady,"Basyoun, Egypt",30.8157423,30.9422647
Egypt,A,4,MF,Omar Gaber,1992-01-30,26,23,0,Los Angeles FC,1,https://en.wikipedia.org/wiki/Omar_Gaber,"Cairo, Egypt",31.2357116,30.0444196
Egypt,A,5,MF,Sam Morsy,1991-09-10,26,4,0,Wigan Athletic,1,https://en.wikipedia.org/wiki/Sam_Morsy,"Wolverhampton, England",-2.12882,52.586973
Egypt,A,6,DF,Ahmed Hegazi,1991-01-25,27,44,1,West Bromwich Albion,1,https://en.wikipedia.org/wiki/Ahmed_Hegazi_(footballer),"Ismailia, Egypt",32.2714587,30.5964923
Egypt,A,7,DF,Ahmed Fathy,1984-11-10,33,125,3,Al Ahly,1,https://en.wikipedia.org/wiki/Ahmed_Fathy,"Banha, Egypt",31.1848307,30.4659929
Egypt,A,8,MF,Tarek Hamed,1988-10-24,29,20,0,Zamalek,1,https://en.wikipedia.org/wiki/Tarek_Hamed,"Cairo, Egypt",31.2357116,30.0444196
Egypt,A,9,FW,Marwan Mohsen,1989-02-26,29,23,4,Al Ahly,1,https://en.wikipedia.org/wiki/Marwan_Mohsen,"Cairo, Egypt",31.2357116,30.0444196
Egypt,A,10,FW,Mohamed Salah,1992-06-15,25,57,33,Liverpool,1,https://en.wikipedia.org/wiki/Mohamed_Salah,"Nagrig, Egypt",30.8671201,30.9762977
Egypt,A,11,FW,Kahraba,1994-04-13,24,18,3,Al-Ittihad,1,https://en.wikipedia.org/wiki/Kahraba_(footballer),"Cairo, Egypt",31.2357116,30.0444196
